Id,Score,Summary
236,2,"Taste is neutral, quantity is DECEITFUL!"
237,5,Eukanuba puppy small breed dog food
238,4,High Quality... But it gave my dog wicked gas..
239,5,Great tasting green tea and such a great deal.
240,5,OMG best chocolate jelly belly
241,5,Excellent loose tea.
242,5,Good anytime hot tea
243,5,My everyday cup of Tea
244,4,This is what you get in the store
245,4,Ahmad Tea
246,2,Disappointed
247,5,Wonderful!
248,5,Best way to buy kcups
249,5,delicious
250,5,keeps you out of the dentest chair
251,5,Super!  SuperFoods are Super easy!
252,3,Pok Chops
253,1,Sad outcome
254,4,Best Energy Shot For Me
255,1,Don't Waste Your Money
256,2,"If you can't handle caffeine, this is not for you."
257,5,"Yum, Yummy, Yummier"
258,1,Reeks like chemicals
259,2,Disappointed!
260,5,Great for Gluten-free lifestyle!!
261,5,my dog loves these
262,5,YUMMY
263,5,sugar in the raw
264,3,Manufacturing Problems Diminish Product
265,5,Good product but terrible agricultural practices
266,5,Sugar in the raw
267,5,Sugar in the raw
268,1,Lie!!!!
269,4,It's sugar..
270,4,Excellent but not perfect
271,4,Good product
272,5,You'll never use white sugar again.
273,3,Thanks for the review Scott
274,5,great
275,5,Awesome Sugar!
276,4,Great product - weak packaging
277,5,Excellent!
278,5,Excellent for G/F
279,5,Amazing!
280,5,Very tasty chips!
281,5,YUMMY
282,5,Excellent Taste
283,1,Over priced chips and lack rice taste
284,5,Rotel saves me on a daily basis
285,5,"it's fabulous, but *not* from amazon!"
286,3,too expensive
287,3,Not mild enough for me lol
288,5,Great Natural Energy
289,5,I like this stuff
290,5,Great Energy
291,3,Not sure
292,5,"The best energy shot out there, smooth and organic!"
293,5,"Fantastic, natural energy"
294,5,Way better than Guayaki!
295,3,Doesn't taste that good but provides you the energy
296,5,Rocket in a Bottle
297,4,This stuff works!!!
298,5,Favorite energy shot and all natural too!
299,5,natural energy boost
300,5,Best energy shot I have ever tasted!
301,5,The Best
302,5,Tested by a trucker
303,5,Good Stuff
304,5,Great energy drink without artificial ingredients
305,5,"Flavor getting better, energy is great"
306,1,So awful I can barely describe
307,4,could use only once
308,5,VANILLA TOOTSIE ROLLS
309,5,One of my Favoritte foods
310,5,Fantastic!
311,5,WOW
312,1,Very Dissapointed
313,1,what quantity is it!
314,5,Very Good Coffee
315,5,Very Tasty
316,5,Excellent coffee
317,5,Hot!
318,5,Hot and delicious
319,5,Swiss Chalet
320,5,Oyster Sauce
321,5,ABSOLUTELY DELICIOUS!
322,5,Great gag gift
323,3,arrived FAST
324,3,Penguin Pooper
325,1,Never Arrived
326,5,coffee-mate coffee creamer hazelnut
327,5,No broken creamers!
328,4,Shipped great
329,5,Better Packaging
330,5,coffee-mate creamer
331,5,Perfect for work
332,1,AWFUL
333,5,Pop-Tarts Work of Art
334,5,"Yes, this is real excellent coffee!!!"
335,1,Does not taste very good
336,1,No no
337,5,The king of all seasoning salts.
338,5,Toasted Sesame oil
339,5,"Tasty, tasty tasty!"
340,5,"Love, Love, Love These!"
341,4,"great for eating whole foods, clean with veggie brush"
342,5,Absolutely LOVE IT!!
343,3,Only good for ice
344,5,Great for teething
345,3,Wonderful idea-difficult to clean.
346,3,I wasn't that impressed
347,4,Love the Fresh Food Feeder!!
348,5,Great Beans!!!
349,5,Good stuff!
350,5,excellent - exactly what I expected
351,5,These are the Best!
352,5,Love Love Love
353,5,The product is great but the price is out of line
354,5,Swedish Pearl is not the same as  Belgian Pearl
355,5,Perfect!
356,5,great taste
357,5,Taste-tested by a wine maker
358,4,Excellent Everyday Olive Oil
359,4,"Love Weavers, I am a fan."
360,5,Make My Day
361,5,Treat yourself to the best coffee!
362,1,Bitter
363,5,"Drinking it now, love the latin america ""aroma"""
364,5,GREAT SNACK
365,5,Best Bar
366,5,Can't find anywhere else!
367,5,My New Granola Bar
368,5,Another Husband Favorite
369,4,Price surprise
370,5,Very Smooth Coffee - Highly Recommended
371,4,A saving grace for Green Mountain Coffee...
372,5,My favorite
373,4,Good Coffee
374,5,Nantucket blend k-cups
375,5,Fantastic Chicken Noodle soup
376,5,Greatest Oil since slice bread !!!!!!!
377,5,Best Ever!
378,5,Deliciously scrumptious
379,5,Heinz no more!
380,5,This is really good stuff
381,3,Disappointing
382,1,Waste of money
383,5,Porcini Mushrooms an excellent product
384,5,"Excellent flavor, mostly large pieces"
385,5,The Best
386,5,Good for the money
387,4,"not the highest quality, but good for the price."
388,5,Fresh - Whole.. perfect
389,5,Fresh and Tasty
390,4,Valentine gift winner
391,2,Cat won't go near it!
392,5,Simply WIld Chick & Brown RIce for Cats
393,5,Ham Base
394,1,MSG Ham Base
395,5,Delisious Pancakes
396,5,A Great All Around Mix
397,5,Great mix
398,5,Perfect mix for egg-allergic!
399,5,Arrowhead Mills whole grain buttermilk Pancakes are easy!
400,4,Good for Egg Allergy
401,3,Love the product disappointed in the shipping.
402,1,poor item packaging
403,1,Awful
404,1,disappointing
405,5,Great Healthy Snack
406,5,Sweet and Soothing
407,5,minty flavor
408,5,Ingredients take about 2 seconds to read
409,5,A Fantastic & Healthy Product
410,5,Great product
411,5,Excellent tea!
412,5,french's roast'n bags
413,5,best roast ever
414,5,Franch's is the best
415,5,Double the pleasure!
416,5,VERY GOOD! Great taste and easy for a single guy!
417,5,An acquired taste!
418,1,Look elsewhere for your whole grains
419,5,Hey!
420,4,These are Famous for a reason.
421,5,Wow
422,5,"God, I love these cookies!!!"
423,4,Hard
424,5,Kettle potato chips:  Fully loaded baked potato
425,5,"Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product."
426,4,glad to find them in 1 oz size
427,4,"pretty good, could be better"
428,5,a slight taste of jalapeno
429,5,Best chips ever
430,5,Kettle potato chips:  Sweet onion
431,5,Ridiculously Good
432,5,Delicious!
433,4,PUCKER UP
434,5,I love these chips.  They are thick and crunchy!
435,4,Quite good
436,5,Delicious
437,5,Salty and vinegary!!!
438,5,WOW!!!!
439,5,Best gluten-free dairy-free chips
440,4,A unique flavor for fans of Thai food
441,3,"Honey Dijon leaves bad aftertaste, NY Cheddar are pretty good"
442,5,Yowzah!!
443,4,Very good.
444,5,Excellent!
445,5,Tangy goodness.
446,3,Heavy on the Vinegar
447,4,"A delicious, crisp chip with good flavor"
448,5,BEST BUY in BBQ Chips
449,5,Love Them!
450,5,Crunchy and Tasty
451,5,Convenience at low cost
452,3,An Acquired Taste
453,5,Best deal ever!
454,5,Yum!
455,5,Barbeque perfection
456,5,Excellent Thai-flavored chip
457,5,Best Kettle Chips!
458,5,The Supreme Salt & Vinegar
459,5,Delicious as always!
460,5,OooH Yummy!
461,4,Not quite the best...
462,4,want to gaain twenty pounds with no control whatsoever? Buy this!
463,5,One of Their Best Flavors
464,5,Love these chips!
465,5,Highly addicitive chips
466,5,These are AWESOME!
467,5,"One bite and you'll become a ""chippoisseur"""
468,5,"Crunchy, salty, sweet...finally, a Superbowl snack that scooores!"
469,5,These chips make me weak at the knees
470,5,By far my favorite chips
471,4,"Good chips, more cheese"
472,4,Pretty good tasting chip
473,4,Yummy chips
474,4,Best sour cream & onion chip I've had
475,5,Great chips
476,5,Fabulous!
477,5,Box-o-Chips
478,5,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover
479,4,An addictive potato chip
480,5,Great Chip!
481,5,"Excellent balance of taste, crunchiness, and moisture"
482,5,Yum
483,5,Very good chips at a great price.
484,2,70% of the chips in the bag are over cooked
485,5,Great chips!
486,4,Not bad but a little hard to get used to
487,4,Firm quality chip
488,2,Not  Very Creamy or Chivey...
489,3,Prefer other flavors
490,5,These will be habit forming!
491,2,Good and tangy
492,5,the best chips ever
493,5,I do not even like kettle chips and I love these
494,5,You have to love sea salt and vinegar already
495,5,Addictive
496,5,amazing chips
497,5,Best Chip Ever
498,4,"Tangy, spicy, and sweet- oh my!"
499,4,An indulgence with a bite
500,5,The best I've had
501,5,Excellent chip!
502,2,salt and vinegar chips
503,5,Delicious!!
504,4,I like them.
505,5,Love Kettle Chips
506,5,Best unsalted chips
507,5,So Delicious...Yet my companions wont touch them.
508,2,"Love Kettle Chips, but not this flavor!"
509,1,Maybe the worst chips ever.
510,1,Surprise 1  It's different...
511,5,Tasty
512,4,Crisp
513,3,Vinegar... Not my taste!
514,5,spicy thai chips
515,5,"Delicious, what else did you expect?"
516,5,Great Value
517,1,"I have had better ""Jalapeno Kettle Chips"""
518,4,Spicy but good
519,3,boulder salt and malt vinegar chips are way better
520,2,POTATO CHIPS
521,5,"Lightly Salted, Heavily Delicious!"
522,3,Too Much Flavor
523,5,Love at first bite!  Tongue-puckering tang and crunch!
524,5,The Best Chips...PERIOD!
525,5,Delicious Extra Crunchy
526,5,Chip snob alert!
527,5,Best Salt & Vinegar!
528,5,Gourmet powerful Salt & Vinegar chips!
529,1,They changed the Chips now they taste horrible
530,5,Do not miss the salt!
531,5,Great deal
532,5,Best Chips out there!!!
533,4,"Great price, but not as tangy as I expected."
534,3,burnt
535,3,"Gaaak!  An ""extreme"" potato chip...!"
536,2,Kettle Chips
537,5,"Absotively, Posilutely Delicious"
538,1,Gone down hill
539,1,completely ripped off
540,5,C H I P.....C H I P.....H O O R A Y....!!!!!  :  )  ( B A C K Y A R D.....B A R B E C U E )
541,3,Not the Best
542,1,STALE.  Beware buying these on special!
543,4,THESE ARE VERY GOOD
544,1,USED to be my favorite chips
545,1,"Stale, Rancid Oil Taste, And if You Like Even the Tiniest Bit of Salt Flavor on Your Chips..."
546,1,Disgusting
547,2,"Taste terrible, way too strong"
548,1,Over-fried
549,4,No salt Kettle chips.
550,3,Not as good as the English sell
551,1,VERY DISAPPOINTED
552,1,dripping in oil
553,2,Not so good.
554,2,Bags O' Salt with chips added.
555,1,Chips
556,1,Garbage
557,1,They're Not Madhouse Munchies!!!
558,1,Too SOUR!
559,1,AWFUL TASTE
560,5,delicious
561,1,"Kettle has sold out, the chips are horrible now"
562,1,The bags were damaged with holes and stains.
563,1,Kettle Chips Make Great Mouse Food
564,5,orgasmic
565,5,A tang that packs a punch!
566,5,great (hot) new flavor....
567,1,HORRIBLE I CANT BELIEVE THIS!
568,5,Favorite Kettle flavor and a great value!
569,1,Kettle Brand Potato Chips - New York Cheddar
570,5,My favorite flavor
571,5,So much flavor your farts will smell like sweet onions
572,5,Great Chip!
573,5,Awesome and delicious!
574,5,The only thing I have ever been addicted too...these chips!
575,5,"One bite and you'll become a ""chippoisseur"""
576,5,Good chips
577,1,what happened? the recipe has changed
578,5,"YUM! If you want a snack, have something REALLY good!"
579,5,a good buy
580,5,Yoli
581,4,Good chips
582,5,Awesome
583,1,burns the skin off your lips
584,5,Great chips with very low sodium
585,5,Kettle Chips
586,4,Spicy Thai
587,5,smiles
588,5,My favorite Kettle Chip
589,5,Best salt & vinegar chips out there!
590,5,Amazing Service
591,5,Crunchy and spicy.
592,4,Pretty tasty and decently spiced. . . .
593,5,Great Tasting Chips
594,2,"Kettle Chips, Sea Salt"
595,3,Good deal but close expiration date!
596,5,GREAT TASTING CHIPS
597,5,"Buy These, Eat These, Be Happy!"
598,5,Eating them for years.
599,5,These chips will make you fat
600,5,Like Spice? Get these
601,5,Fantastic
602,5,"Sweet, salty, tangy: the way a snack should be"
603,5,"One bite and you'll become a ""chippoisseur"""
604,5,"One bite and you'll become a ""chippoisseur"""
605,5,Some of the best chips anywhere
606,5,the defacto standard for Salt and Vinegar chips
607,5,Yummy!
608,4,Delicious!
609,5,"Lightly salted, yet tasty"
610,5,YUMMY!
611,5,Caution: Kettle Chips are addictive!
612,4,The chip with a kiss of salt
613,5,Crunch. Wow!
614,5,Great strong flavor
615,5,yummy for your tummy
616,4,Best Chips Out There!
617,5,These chips tasted good
618,5,awesome chips
619,3,I dont know if...
620,5,Delicious!
621,2,Kettle Foods Spicy Thai Chips
622,1,Expired stock
623,5,these potato chips are yummy....
624,1,ONLY awful because SOMETIMES they are awful
625,4,4 Stars for price and taste
626,5,"CRISPY, CRUNCHY, AND ROBUST"
627,4,Tangy and delicious snack
628,5,Best Chip
629,3,Not low salt
630,5,Best Chips I've Ever Tasted
631,4,Tasty!
632,5,Love the smaller bags!
633,3,Things you need to know
634,5,I made a mistake.....
635,3,Ok but Miss Vickie's Are Better
636,3,"Do they have to ""bite back""?"
637,4,These chips are awesome if not best but....
638,4,kettle chips
639,5,GREAT DEAL
640,5,What a great tea at this price
641,5,delicious
642,5,Great well balanced Earl Grey
643,5,Best Earl Grey ever
644,5,favorite Earl Grey tea
645,5,Delicious
646,5,The best
647,5,A HUGE Success
648,5,For your Health
649,5,Shrimp stir fry
650,4,Do not taste from bottle! Mix with vanilla for true flavor.
651,5,Bavarian Creme Flavor Oil
652,5,The oldest soft drink is still the best!
653,5,Made in Michigan since 1866
654,5,"Caramel flavor, excellent for baking and toppings (tips for using agave, too)"
655,4,These weigh 46 oz. NOT 46 fluid ounces
656,5,Great buy!
657,5,excellent sweetner
658,5,Agave syrup
659,5,Sugar Substitute
660,4,"Good, but container could be better"
661,5,Great stuff!
662,5,Healthy Sweetener
663,5,Great way replacing the sugar
664,4,Great substitute sweetener
665,5,My Go to sweetner
666,5,The Best
667,5,YUMMY
668,5,Healthy Stuff
669,5,Agave Nectar
670,5,Sweet success
671,5,great product
672,5,Best price on agave nectar that I've found
673,1,How this could be good?
674,5,Best tea I ever had
675,5,That's a spicy!
676,5,Who needs salsa when chips taste this good?
677,5,Delicious!
678,4,Organic yummy chips what more can you ask for
679,4,Very different flavor
680,5,These are the best widely available bbq chips!
681,5,My favorite chips from Kettle!!
682,5,"Amazing Taste, Best Chip Ever!"
683,4,tasty
684,4,Plocky's Sweet Smokey Chipotle Whole Grain Tortill...
685,5,Yummy chips
686,5,Tasty!
687,5,So Faboo: Dangerous for those prone to Chips Binges!!!
688,5,The spice will grow!
689,5,The best tortilla chips I have ever eaten!!
690,5,Such an excellent chip
691,1,WRONG FLAVOR - got Country BBQ instead of Chili Chipotle
692,5,Great
693,5,Plocky's Rice and Beans Tortilla Chips
694,5,Huge fan of these chips!
695,4,Plocky's tortilla chips--tasty and healthy
696,5,Plocky's Three Grain Tortilla Chips
697,4,"Tasty, but make sure you have gum"
698,5,Don't stop carrying these chips
699,5,OM NOM NOM NOM!
700,5,delicious and healthy
701,5,Unique schrumshist and tasty Tortilla Chips
702,5,Music to My Palate
703,5,yummy!
704,5,Kettle Organic Chipotle potato chips
705,5,Best kept secret.
706,5,Delicious and additive
707,5,FANFREAKINTASTIC
708,5,Smokin'
709,5,really good chips
710,5,"Plocky's Tortilla Chips, Red Beans 'N Rice"
711,5,"""Simply THE BEST"""
712,5,Addicted
713,5,Perfect tortilla chip goodness!
714,5,These chips are addictive!
715,5,Best tortilla chips ever!!!
716,2,Meh
717,1,"The ""Organic"" Label is Misleading"
718,3,Kind of Bland
719,5,Delicious chips
720,4,Broken chips but tasty
721,5,The best chips ever!!!
722,5,Excellent Tortilla chips
723,5,Black Beans Never Tasted So Good!!!
724,2,"Not, my favorite chip"
725,5,Very Timely Delivery
726,2,Very Tasty - BUT BEWARE
727,5,Great candy
728,4,Candy
729,5,"cute ,cute, cute!"
730,4,A Surprising Find
731,5,Unparalleled taste
732,5,Amazing
733,3,a bit on the stale side
734,5,Delicious!
735,1,Disappointed!
736,1,Perhaps something was wrong with the batch...
737,2,$4 down the drain
738,1,Big Disappointment
739,1,Worst Frosting Ever
740,1,worst frosting ever
741,1,Cherrybrook Kitchen Vanilla Frosting
742,1,"Do Not Buy This ""Frosting"""
743,5,Dum Dums for all!!
744,4,Lots of pops!
745,5,"when you have no fridge but want meat, what do you do?"
746,5,Anti-Oxidant Smoothie
747,1,Perversion of taste
748,3,Annie's Homegrown Organic Whole Wheat Shells & White Cheddar Macaroni & Cheese - 6 oz.
749,5,The flavor of the gods
750,5,cuttiest gum of the century
751,2,"City Steam, not much steam in this brew."
752,4,"Good soy sauce, but not special. Mainly good as unique gift."
753,5,What a surprise
754,5,Gets My Vote
755,5,And I though kikkoman was good?
756,5,Better than anything in the supermarket!
757,5,Best Soy Sauce Ever!!!
758,5,Great sauce!
759,5,Outstanding Product!
760,4,non GMO
761,5,Amazingly true to flavors...
762,1,IT'S A LAXATIVE
763,5,Good Tasting cup o' joe
764,5,Best of the Tassimo's
765,5,great coffee - terrible price
766,4,One of the better T-Discs
767,3,Note: Rating both coffee and seller
768,5,Kona for Tassimo
769,5,Best wafers
770,1,Tao of Tea ...!Don't get it
771,4,Perfect Sampler of Milka Chocolate
772,5,Dad really liked these.
773,4,Great candy my family loved it
774,5,Yummy!
775,1,Horrible .. dont buy it
776,5,Kleri Tea works great!
777,3,Where are the cranberries?
778,5,Our ferret loves this...
779,5,Fantastic!
780,5,Great little treats
781,1,NOT edible!
782,3,speedy shipping
783,4,"My sons 9 & 11 loved making this, as easy enough to do by themselves. With adult supervision any age can do this neat project."
784,4,Spongetastic!
785,2,not as easy as it looks
786,1,Not one but twice came broken.
787,5,Rudolph Gingerbread House
788,4,Fun to paint
789,2,disappointment
790,2,Cute Item... but expired!
791,1,If I could give a rating under one-star...
792,1,Horrid
793,4,delicious
794,5,I love this tea - to each her own taste buds!
795,5,There is none greater.
796,5,Caramel chocolate
797,5,Chocolate heaven
798,5,Heavenly Action
799,3,Great chocolate...
800,5,Great item
801,5,choclate
802,3,is this serious??? 10 bucks??
803,5,Yum!
804,3,"Overpriced, Even on Gold Box"
805,3,Even at $15 seems a little overpriced.
806,5,Quick arrival great basket!
807,5,Adorable basket-makes nice presentation
808,5,Specialty party item
809,5,Delicious!
810,5,Chocolate - How can you go wrong?
811,5,chocolate liquor cups
812,5,Scottie
813,4,has a very good flavor
814,2,Odd Fake Flavor - Not Recommended
815,3,"Good sugarless gum, with stronger gum for better bubble blowing than other sugarless gums"
816,5,Great Gum
817,5,Delicious IMO and.... helps weight loss
818,5,ROYAL CANIN COCKER
819,5,Perfect for Cockers!
820,5,My dog loves this food!
821,5,Great deal!
822,5,Great food!
823,5,Buster Loves this dog food
824,4,Happy Dogs
825,5,"Fast and great service,"
826,5,GOOD FOOD!
827,5,Happy Dog
828,5,Great way to order
829,5,"Good quality, delivered on time, human edible."
830,5,Rave Review for Rolled Oats
831,5,Excellent
832,1,Very Different taste from the 'Made in UK' or 'Made in India' version.
833,1,Not like other countries Cadbury
834,5,Great deal on great tea
835,5,Best Breakfast Tea ever
836,5,great organic tea at a great price
837,3,"Mediocre, but cheap"
838,5,Delicious and consistently good quality
839,4,Nice flavorful tea for the purist black tea addict
840,5,the best tea
841,5,Great Tea
842,5,"This is a very fine tasting full lea, a great value!"
843,3,not creamy...
844,5,This caramel is fantastic!!!
845,5,Great caramels
846,5,Where Has This Candy Been?
847,1,not for traditional caramel lovers
848,4,soda
849,5,Aluminum Free!
850,5,This baking soda is the 'bomb!'
851,3,Interesting info about baking soda
852,5,"Excellent quality product, fast delivery..."
853,5,"Good oatmeal, I'm on my second bag"
854,5,mm mm oats
855,5,Loved the Oats!!
856,2,Funny taste
857,4,awsome
858,5,Very Happy with Pocky Sticks
859,5,These are great!
860,5,I love this snack!
861,3,Chocolate was all melt
862,5,This Item Is Awesome!!!!
863,5,Great tasting snack...if you get the Japanese Pocky
864,5,Great product
865,4,Delicious
866,5,"Fun ""popping-crispy"" sticks dipped in chocolate, special treat for manga fans, but find local or wait till fall"
867,5,Yummy
868,2,Doesn't taste as it should
869,5,Pocky!!
870,5,Great Buy
871,5,Good stuff
872,2,Pocky sticks together
873,1,Really wanted to like these...
874,5,"Good berry flavor, excellent price."
875,2,The chocolate ones are much better
876,1,Something has changed
877,5,Good berry flavor
878,4,great taste But size it smaller
879,2,"Cheaper Ingredients, Lowered Quality"
880,1,Not a Fan
881,4,Perfect Size
882,4,Pretty good overall
883,5,My child LOVES them!
884,4,small but good
885,5,You can't go wrong
886,4,"Yummy, but small..."
887,3,Be Very Berry Wary.
888,5,Highly recomended!
889,5,Very Berry Snack Bars
890,4,Great snack
891,5,Great bars for gluten-free diets!
892,1,ABSOLUTELY VILE!!!
893,5,Fantastic Coffee!!  Best I've ever had
894,5,Strictly the Best!
895,5,Best Coffee!
896,4,Beautiful presentation ...and a pretty good tea too!
897,2,Break Easily
898,4,Wonderful Tea!
899,5,I can't take the smell
900,3,"Our twins love this one. With the subscription, the price is fair"
901,4,Dessert to Them.  But is it Nutritional Enough?
902,3,Repeated deliveries of broken jars.  Great product though
903,4,"Good flavor, too runny though"
904,3,12% Protein and 50% Vitamin A
905,5,Baby Lilly says 2 thumbs up!
906,5,Earth's Best Rice & Lentil dinner
907,1,Plastic in the food!
908,4,My baby's favorite 2nd stage food so far and great for constipation!
909,5,Sons Favorite Dinner!!!
910,5,No Issues
911,3,Too thin
912,5,A great place to start
913,4,good for you but not best flavor
914,5,A favorite!
915,1,Runny and odd-tasting
916,3,Too runny...
917,4,"Great taste for a picky baby, but very thin compared to others"
918,5,Great stuff
919,5,Son loves it
920,5,Love it
